	word pair	human	score	difference
124	('theater', 'history')	3.91	2.054455876350403	1.8555441236495973
125	('situation', 'isolation')	3.88	3.103276491165161	0.7767235088348388
126	('profit', 'warning')	3.88	1.3748699426651	2.5051300573349
127	('media', 'trading')	3.88	1.5435561537742615	2.3364438462257384
128	('chance', 'credibility')	3.88	2.8317874670028687	1.0482125329971312
129	('precedent', 'information')	3.85	1.5483593940734863	2.3016406059265138
130	('architecture', 'century')	3.78	1.7842650413513184	1.9957349586486814
131	('population', 'development')	3.75	2.4159058928489685	1.3340941071510315
132	('stock', 'live')	3.73	0.9447298943996429	2.785270105600357
133	('cup', 'object')	3.69	1.8486365675926208	1.841363432407379
134	('peace', 'atmosphere')	3.69	2.248034179210663	1.441965820789337
135	('morality', 'marriage')	3.69	3.2448992133140564	0.44510078668594355
136	('minority', 'peace')	3.69	1.0021048039197922	2.6878951960802078
137	('atmosphere', 'landscape')	3.69	2.3639559745788574	1.3260440254211425
138	('report', 'gain')	3.63	0.5226655304431915	3.1073344695568084
139	('music', 'project')	3.63	1.5285103023052216	2.1014896976947783
140	('seven', 'series')	3.56	2.8077176213264465	0.7522823786735535
141	('experience', 'music')	3.47	1.9409944117069244	1.5290055882930758
142	('school', 'center')	3.44	2.056262791156769	1.3837372088432311
143	('five', 'month')	3.38	4.264117479324341	0.8841174793243409
144	('announcement', 'production')	3.38	1.7963135242462158	1.583686475753784
145	('morality', 'importance')	3.31	3.0631619691848755	0.24683803081512457
146	('money', 'operation')	3.31	1.4320065081119537	1.8779934918880463
147	('delay', 'news')	3.31	1.5927058458328247	1.7172941541671753
148	('governor', 'interview')	3.25	1.5313902497291565	1.7186097502708435
149	('practice', 'institution')	3.19	2.117968499660492	1.072031500339508
150	('century', 'nation')	3.16	2.719743847846985	0.4402561521530153
151	('coast', 'forest')	3.15	2.8538289666175842	0.2961710333824157
152	('shore', 'woodland')	3.08	2.425057142972946	0.6549428570270539
153	('drink', 'car')	3.04	2.6728975772857666	0.36710242271423343
154	('president', 'medal')	3.0	1.7651858925819397	1.2348141074180603
155	('prejudice', 'recognition')	3.0	1.7711836099624634	1.2288163900375366
156	('viewer', 'serial')	2.97	1.475003957748413	1.494996042251587
157	('peace', 'insurance')	2.94	1.4293143153190613	1.5106856846809387
158	('Mars', 'water')	2.94	1.1093893647193909	1.830610635280609
159	('cup', 'artifact')	2.92	1.235448569059372	1.684551430940628
160	('media', 'gain')	2.88	1.2345150858163834	1.6454849141836165
161	('precedent', 'cognition')	2.81	0.6607191264629364	2.1492808735370637
162	('announcement', 'effort')	2.75	2.2621795535087585	0.48782044649124146
163	('line', 'insurance')	2.69	0.9344910085201263	1.7555089914798736
164	('crane', 'implement')	2.69	0.5495364591479301	2.14046354085207
165	('drink', 'mother')	2.65	1.4162246882915497	1.2337753117084502
166	('opera', 'industry')	2.63	1.655634492635727	0.974365507364273
167	('volunteer', 'motto')	2.56	1.782519668340683	0.7774803316593171
168	('listing', 'proximity')	2.56	1.9707481563091278	0.5892518436908722
169	('Arafat', 'Jackson')	2.5	2.3528067767620087	0.14719322323799133
170	('precedent', 'collection')	2.5	1.4496718347072601	1.0503281652927399
171	('cup', 'article')	2.4	0.6950614601373672	1.7049385398626327
172	('sign', 'recess')	2.38	0.7738950848579407	1.6061049151420592
173	('problem', 'airport')	2.38	0.9640510380268097	1.4159489619731902
174	('reason', 'hypertension')	2.31	0.60155238956213	1.70844761043787
175	('direction', 'combination')	2.25	1.8651968240737915	0.3848031759262085
176	('Wednesday', 'news')	2.22	2.3882409930229187	0.1682409930229185
177	('cup', 'entity')	2.15	0.6888280808925629	1.461171919107437
178	('glass', 'magician')	2.08	1.1991187185049057	0.8808812814950944
179	('cemetery', 'woodland')	2.08	2.997784912586212	0.9177849125862121
180	('possibility', 'girl')	1.94	0.7836984097957611	1.1563015902042388
181	('cup', 'substance')	1.92	1.3158202171325684	0.6041797828674316
182	('forest', 'graveyard')	1.85	2.878362536430359	1.0283625364303588
183	('stock', 'egg')	1.81	1.1596130579710007	0.6503869420289994
184	('month', 'hotel')	1.81	0.9537050127983093	0.8562949872016907
185	('energy', 'secretary')	1.81	1.4558133482933044	0.3541866517066956
186	('precedent', 'group')	1.77	1.0306136310100555	0.7393863689899445
187	('production', 'hike')	1.75	0.3265465423464775	1.4234534576535225
188	('stock', 'phone')	1.62	1.6040852665901184	0.0159147334098817
189	('holy', 'sex')	1.62	1.8664133548736572	0.24641335487365712
190	('stock', 'CD')	1.31	0.6380093842744827	0.6719906157255173
191	('drink', 'ear')	1.31	0.9571658074855804	0.3528341925144196
192	('delay', 'racism')	1.19	0.7704529166221619	0.4195470833778381
193	('stock', 'life')	0.92	1.1362776160240173	0.2162776160240173
194	('stock', 'jaguar')	0.92	1.2185458838939667	0.29854588389396663
195	('monk', 'slave')	0.92	2.0979350805282593	1.1779350805282593
196	('lad', 'wizard')	0.92	3.244604766368866	2.324604766368866
197	('sugar', 'approach')	0.88	-0.20825861021876335	1.0882586102187632
198	('rooster', 'voyage')	0.62	0.044583603739738464	0.5754163962602615
199	('noon', 'string')	0.54	-0.10279310867190361	0.6427931086719036
200	('chord', 'smile')	0.54	1.2412768602371216	0.7012768602371215
201	('professor', 'cucumber')	0.31	0.8853252232074738	0.5753252232074737
202	('king', 'cabbage')	0.23	1.9205094873905182	1.6905094873905182
